Date,Greenland AWP,Canada,USA 48,eastern Canada,Central Canada,Canadian Rockies,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
1999-297,0.155,3.671,10.95,5.573,5.459,4.219,0.618,1.521,10.97,9.832,10.551,9.565
1999-298,0.144,3.541,10.8,5.342,5.306,4.097,0.583,1.451,10.801,9.68,10.39,9.424
1999-299,0.133,3.473,10.653,5.445,5.157,3.776,0.549,1.372,10.634,9.53,10.231,9.285
1999-300,0.123,3.282,10.484,5.167,4.885,3.549,0.5,1.307,10.469,9.366,10.074,9.075
1999-301,0.114,3.144,10.336,4.877,4.746,3.442,0.47,1.245,10.294,9.22,9.91,8.926
1999-302,0.106,3.041,10.088,4.766,4.608,3.241,0.442,1.185,10.133,9.077,9.757,8.372
1999-303,0.098,2.973,9.997,4.706,4.489,3.144,0.416,1.127,9.976,8.95,9.607,8.413
1999-304,0.09,2.876,9.902,4.598,4.36,2.969,0.386,1.047,9.82,8.811,9.46,8.45
1999-305,0.083,2.63,9.755,4.492,3.615,2.8,0.362,0.995,9.667,8.665,9.314,8.29
1999-306,0.077,2.597,9.652,4.446,3.609,2.723,0.34,0.879,9.517,8.538,9.171,8.274
1999-307,0.071,2.511,9.516,4.343,3.502,2.578,0.308,0.832,9.369,8.405,9.031,8.131
1999-308,0.052,2.268,9.346,3.597,3.398,2.501,0.287,0.68,8.831,8.269,8.892,8.01
1999-309,0.048,2.2,9.254,3.437,3.436,2.39,0.234,0.645,8.997,8.146,8.723,7.9
1999-310,0.044,2.167,9.14,3.583,3.216,2.317,0.214,0.569,8.94,8.021,8.591,7.799
1999-311,0.04,2.107,9.018,3.5,3.122,2.248,0.2,0.539,8.802,7.898,8.461,7.685
1999-312,0.037,2.088,8.88,3.524,3.099,2.149,0.186,0.516,8.674,7.777,8.333,7.503
1999-313,0.034,2.044,8.763,3.495,3.008,2.085,0.173,0.489,8.542,7.658,8.209,7.393
1999-314,0.031,1.953,8.648,3.288,2.914,2.022,0.161,0.464,8.413,7.542,8.087,7.286
1999-315,0.028,1.91,8.54,3.197,2.892,1.962,0.15,0.44,8.26,7.429,7.967,7.211
1999-316,0.026,1.863,8.439,3.129,2.825,1.905,0.14,0.417,8.148,7.318,7.85,7.142
1999-317,0.024,1.799,8.331,2.992,2.761,1.849,0.13,0.395,8.028,7.21,7.736,7.041
1999-318,0.022,1.738,8.226,2.877,2.681,1.794,0.121,0.374,7.927,7.104,7.625,6.942
1999-319,0.02,1.684,8.122,2.786,2.604,1.742,0.113,0.355,7.802,7.001,7.516,6.846
1999-320,0.018,1.638,8.019,2.72,2.53,1.692,0.104,0.336,7.654,6.901,7.41,6.753
1999-321,0.016,1.555,7.875,2.511,2.459,1.644,0.097,0.318,6.971,6.803,7.307,6.661
1999-322,0.015,1.393,7.727,2.305,2.102,1.564,0.078,0.297,6.649,6.708,7.207,6.434
1999-323,0.014,1.352,7.584,2.202,2.086,1.508,0.072,0.28,6.902,6.408,7.11,6.319
1999-324,0.013,1.319,7.533,2.161,2.03,1.466,0.067,0.266,6.98,6.431,6.97,6.187
1999-325,0.012,1.262,7.475,2.155,1.839,1.426,0.062,0.253,7.049,6.388,6.879,6.114
1999-326,0.011,1.229,7.337,2.282,1.605,1.378,0.058,0.24,7.018,6.304,6.791,5.804
1999-327,0.01,1.2,7.257,2.237,1.564,1.341,0.054,0.228,6.927,6.223,6.705,5.734
1999-328,0.009,1.149,6.891,2.167,1.457,1.307,0.05,0.217,6.84,5.621,6.623,5.239
1999-329,0.008,1.121,6.853,2.19,1.377,1.217,0.046,0.195,6.82,5.629,6.543,5.19
1999-330,0.008,1.093,6.869,2.184,1.295,1.187,0.043,0.186,6.738,5.811,6.466,5.131
1999-331,0.007,1.061,6.83,2.144,1.264,1.097,0.04,0.178,6.659,5.789,6.392,5.126
1999-332,0.007,0.954,6.847,2.09,0.962,0.982,0.038,0.17,6.585,5.742,6.346,5.371
1999-333,0.006,0.917,6.81,1.822,1.087,1.012,0.035,0.162,6.488,5.738,6.277,5.352
1999-334,0.006,0.89,6.741,1.76,1.062,0.989,0.033,0.155,6.321,5.677,6.211,5.298
1999-335,0.005,0.922,6.644,1.74,1.223,0.98,0.031,0.149,5.576,5.692,6.14,5.217
1999-336,0.005,0.918,6.57,1.733,1.226,0.959,0.029,0.143,5.542,5.638,6.062,5.087
1999-337,0.005,0.913,6.413,1.74,1.213,0.937,0.027,0.137,5.628,5.585,5.789,4.612
1999-338,0.004,0.888,6.153,1.714,1.158,0.916,0.026,0.132,5.576,5.43,5.736,3.884
1999-339,0.004,0.882,5.884,1.75,1.106,0.899,0.024,0.127,6.102,4.885,5.687,3.77
1999-340,0.004,0.869,5.822,1.727,1.088,0.883,0.023,0.123,6.057,4.781,5.64,3.74
1999-341,0.004,0.855,6.073,1.712,1.058,0.87,0.022,0.119,6.006,5.16,5.596,4.142
1999-342,0.003,0.845,5.96,1.751,0.996,0.841,0.021,0.115,5.978,5.181,5.555,3.669
1999-343,0.003,0.85,5.881,1.792,0.981,0.826,0.02,0.111,5.936,5.213,5.516,3.59
1999-344,0.003,0.836,5.853,1.747,0.982,0.814,0.019,0.108,5.9,5.173,5.48,3.567
1999-345,0.003,0.826,5.846,1.729,0.968,0.803,0.018,0.105,5.863,5.141,5.441,3.546
1999-346,0.003,0.817,5.872,1.713,0.956,0.793,0.017,0.103,5.83,5.164,5.411,3.564
1999-347,0.003,0.805,5.82,1.699,0.936,0.772,0.017,0.1,5.799,5.139,5.383,3.422
1999-348,0.003,0.721,5.668,1.425,0.899,0.764,0.016,0.098,5.632,4.89,5.358,3.216
1999-349,0.002,0.704,5.36,1.385,0.88,0.756,0.016,0.097,5.608,4.033,5.335,3.201
1999-350,0.002,0.657,5.247,1.326,0.755,0.75,0.015,0.095,5.049,3.863,5.316,3.19
1999-351,0.002,0.641,5.242,1.299,0.724,0.744,0.015,0.094,5.339,3.798,5.299,3.178
1999-352,0.002,0.609,5.19,1.188,0.72,0.74,0.015,0.093,4.977,3.742,5.285,3.18
1999-353,0.002,0.606,5.296,1.179,0.716,0.736,0.015,0.092,4.932,3.769,5.273,3.576
1999-354,0.002,0.583,5.274,1.165,0.697,0.64,0.014,0.091,5.131,3.672,5.264,3.571
1999-355,0.002,0.579,5.258,1.163,0.687,0.638,0.014,0.09,5.125,3.641,5.258,3.561
1999-356,0.002,0.578,5.24,1.161,0.681,0.64,0.014,0.09,5.104,3.559,5.291,3.606
1999-357,0.002,0.574,5.226,1.158,0.669,0.64,0.014,0.09,5.106,3.54,5.347,3.598
1999-358,0.002,0.568,5.091,1.158,0.644,0.64,0.014,0.09,4.627,3.349,5.349,3.555
1999-359,0.002,0.569,5.128,1.159,0.645,0.642,0.014,0.091,4.483,3.581,5.354,3.63
1999-360,0.002,0.569,5.239,1.158,0.647,0.644,0.014,0.091,4.487,3.821,5.361,3.641
1999-361,0.002,0.583,5.272,1.132,0.727,0.651,0.015,0.092,4.178,3.944,5.372,3.665
1999-362,0.002,0.586,5.283,1.066,0.809,0.655,0.015,0.093,4.058,3.939,5.385,3.755
1999-363,0.002,0.59,5.296,1.071,0.814,0.659,0.015,0.094,4.07,3.95,5.4,3.765
1999-364,0.002,0.592,5.492,1.072,0.82,0.664,0.015,0.095,4.057,4.371,5.419,3.772
1999-365,0.002,0.599,5.662,1.079,0.834,0.67,0.016,0.097,4.567,4.585,5.44,3.946
1999-366,0.003,0.604,5.683,1.087,0.842,0.676,0.016,0.099,4.587,4.606,5.464,3.962
2000-001,0.003,0.582,5.871,1.129,0.701,0.684,0.017,0.096,5.033,4.884,5.507,4.118
2000-002,0.003,0.589,5.787,1.142,0.711,0.692,0.017,0.098,5.068,4.858,5.537,3.771
2000-003,0.003,0.596,5.825,1.154,0.721,0.701,0.018,0.101,5.214,4.886,5.569,3.792
2000-004,0.003,0.597,5.188,1.208,0.664,0.702,0.019,0.104,5.333,3.479,5.605,3.251
2000-005,0.003,0.611,5.311,1.244,0.675,0.712,0.02,0.107,5.277,3.729,5.642,3.299
2000-006,0.003,0.629,5.49,1.291,0.689,0.724,0.021,0.11,5.321,3.994,5.501,3.543
2000-007,0.004,0.639,5.619,1.308,0.701,0.737,0.022,0.114,5.496,4.172,5.543,3.681
2000-008,0.004,0.638,5.69,1.284,0.715,0.75,0.023,0.118,5.462,4.317,5.588,3.709
2000-009,0.004,0.649,5.854,1.302,0.729,0.764,0.024,0.122,5.588,4.692,5.635,3.739
2000-010,0.004,0.661,5.898,1.322,0.744,0.78,0.026,0.126,5.639,4.733,5.685,3.77
2000-011,0.005,0.674,5.989,1.344,0.76,0.796,0.027,0.131,5.621,4.926,5.738,3.803
2000-012,0.005,0.687,6.042,1.366,0.778,0.813,0.029,0.137,5.557,5.003,5.793,3.842
2000-013,0.005,0.702,5.979,1.392,0.795,0.831,0.031,0.142,5.083,4.665,5.851,4.123
2000-014,0.006,0.707,5.913,1.382,0.814,0.85,0.033,0.149,4.428,4.542,5.912,4.163
2000-015,0.006,0.723,5.97,1.407,0.835,0.871,0.035,0.155,4.476,4.589,5.976,4.215
2000-016,0.007,0.739,6.025,1.434,0.856,0.892,0.038,0.163,4.526,4.639,6.042,4.259
2000-017,0.007,0.732,6.011,1.371,0.878,0.912,0.04,0.17,4.651,4.777,5.351,3.963
2000-018,0.008,0.749,6.099,1.399,0.899,0.935,0.043,0.179,4.691,4.948,5.413,4.001
2000-019,0.008,0.766,6.109,1.428,0.923,0.955,0.047,0.188,4.669,4.803,5.478,4.339
2000-020,0.009,0.785,5.816,1.459,0.949,0.975,0.05,0.197,3.247,4.353,6.231,4.381
2000-021,0.01,0.806,5.877,1.491,0.976,1.002,0.054,0.208,3.289,4.406,6.31,4.433
2000-022,0.011,0.828,5.868,1.524,1.006,1.034,0.058,0.219,3.333,4.457,6.496,4.481
2000-023,0.012,0.85,5.89,1.559,1.036,1.064,0.063,0.23,3.378,4.381,6.581,4.552
2000-024,0.013,0.874,5.916,1.594,1.066,1.096,0.067,0.243,3.424,4.325,6.669,4.61
2000-025,0.014,0.898,5.955,1.631,1.098,1.128,0.073,0.256,3.472,4.614,6.76,4.669
2000-026,0.015,0.923,5.903,1.67,1.129,1.158,0.078,0.27,3.521,4.433,6.654,4.458
2000-027,0.017,0.951,5.815,1.71,1.167,1.202,0.084,0.285,3.572,4.275,6.97,4.538
2000-028,0.018,0.979,5.56,1.751,1.203,1.239,0.091,0.301,3.624,3.739,7.07,4.419
2000-029,0.02,1.007,5.461,1.793,1.24,1.277,0.098,0.318,3.678,3.165,7.184,4.578
2000-030,0.022,1.045,5.41,1.837,1.297,1.339,0.106,0.337,3.732,2.977,7.288,4.666
2000-031,0.024,1.077,5.391,1.887,1.337,1.381,0.114,0.356,3.797,2.987,7.411,4.307
2000-032,0.026,1.109,5.553,1.934,1.379,1.425,0.123,0.376,3.888,3.235,7.522,4.188
2000-033,0.028,1.143,6.028,1.982,1.423,1.47,0.133,0.397,3.976,3.83,7.783,4.661
2000-034,0.031,1.195,6.741,2.031,1.545,1.506,0.143,0.42,4.025,5.285,7.901,4.911
2000-035,0.034,1.21,6.892,2.082,1.519,1.533,0.154,0.444,4.071,5.424,8.021,5.052
2000-036,0.037,1.247,7.048,2.135,1.567,1.583,0.166,0.469,4.135,5.568,8.144,5.158
2000-037,0.04,1.285,7.261,2.189,1.616,1.634,0.178,0.496,4.208,5.76,8.269,5.494
2000-038,0.044,1.327,7.51,2.244,1.676,1.687,0.191,0.524,4.364,6.01,8.397,5.726
2000-039,0.048,1.368,7.609,2.301,1.728,1.741,0.206,0.553,4.432,6.102,8.528,5.81
2000-040,0.053,1.413,7.925,2.359,1.791,1.798,0.221,0.584,4.615,6.632,8.656,6.03
2000-041,0.057,1.454,7.891,2.451,1.801,1.857,0.237,0.616,4.753,6.274,8.81,6.15
2000-042,0.062,1.499,7.989,2.513,1.857,1.917,0.253,0.65,5.463,6.136,8.947,6.194
2000-043,0.068,1.545,8.037,2.576,1.915,1.979,0.271,0.686,5.49,6.08,9.088,6.286
2000-044,0.074,1.592,8.144,2.64,1.974,2.042,0.29,0.723,5.576,6.173,9.23,6.379
2000-045,0.08,1.641,7.988,2.706,2.034,2.107,0.31,0.761,5.705,5.631,9.375,6.28
2000-046,0.087,1.689,8.398,2.773,2.089,2.173,0.331,0.802,6.058,6.424,9.522,6.46
2000-047,0.095,1.741,8.605,2.842,2.152,2.241,0.353,0.844,6.204,6.83,9.646,6.502
2000-048,0.103,1.794,8.735,2.912,2.217,2.314,0.377,0.887,6.488,6.913,9.749,6.631
2000-049,0.112,1.852,8.646,2.997,2.283,2.386,0.401,0.933,6.588,7.017,9.603,5.956
2000-050,0.121,1.908,8.608,3.07,2.351,2.46,0.427,0.98,6.69,6.656,9.753,6.073
2000-051,0.131,1.965,8.59,3.144,2.42,2.536,0.454,1.028,6.746,6.455,9.905,6.067
2000-052,0.142,2.024,8.83,3.22,2.491,2.613,0.482,1.079,6.649,6.956,10.059,6.186
2000-053,0.153,2.101,9.325,3.297,2.629,2.699,0.511,1.131,7.18,8.091,10.265,6.226
2000-054,0.166,2.178,9.653,3.32,2.825,2.779,0.541,1.185,7.558,8.665,10.423,6.443
2000-055,0.179,2.274,9.608,3.449,2.962,2.892,0.573,1.241,7.903,8.939,10.472,5.611
2000-056,0.193,2.362,10.027,3.596,3.084,2.94,0.606,1.298,9.493,9.306,10.632,6.051
2000-057,0.207,2.423,9.944,3.679,3.145,3.026,0.641,1.358,8.954,8.98,10.793,6.139
2000-058,0.223,2.528,10.509,3.799,3.338,3.114,0.677,1.418,9.569,10.05,11.099,6.508
2000-059,0.24,2.634,10.786,3.988,3.452,3.21,0.714,1.481,9.964,10.403,11.266,6.798
2000-060,0.258,2.735,10.967,4.166,3.565,3.299,0.752,1.545,10.063,10.702,11.433,6.874
2000-061,0.277,2.841,11.321,4.257,3.777,3.404,0.792,1.611,10.396,11.369,11.602,7.059
2000-062,0.296,2.92,11.654,4.361,3.873,3.498,0.833,1.679,10.817,11.518,11.772,7.831
2000-063,0.318,2.978,11.72,4.379,3.97,3.593,0.875,1.748,10.861,11.659,11.547,7.728
2000-064,0.34,3.062,11.946,4.473,4.094,3.69,0.919,1.819,11.016,11.837,11.714,8.122
2000-065,0.363,3.249,12.248,4.732,4.448,3.789,0.964,1.892,12.226,12.195,11.882,8.244
2000-066,0.388,3.337,12.335,4.76,4.65,3.888,1.011,1.966,12.156,12.395,11.953,8.157
2000-067,0.414,3.44,12.449,4.847,4.843,3.992,1.059,2.042,12.408,12.58,12.162,8.241
2000-068,0.441,3.551,12.457,5.039,4.956,4.094,1.108,2.119,12.683,12.61,12.332,8.184
2000-069,0.469,3.608,12.432,5.138,4.955,4.187,1.159,2.198,12.857,11.894,12.502,8.483
2000-070,0.499,3.673,12.458,5.178,5.046,4.289,1.21,2.271,12.978,11.805,13.481,8.305
2000-071,0.53,3.762,12.369,5.28,5.159,4.395,1.264,2.353,13.184,11.266,13.663,8.412
2000-072,0.563,3.798,12.443,5.174,5.275,4.511,1.318,2.436,12.027,11.161,13.867,8.955
2000-073,0.597,3.869,12.995,5.208,5.385,4.619,1.374,2.52,10.965,12.093,14.008,10.016
2000-074,0.632,3.974,13.583,5.359,5.501,4.729,1.431,2.606,12.063,13.257,14.191,10.182
2000-075,0.669,3.926,13.544,5.514,5.005,4.829,1.489,2.693,12.99,12.699,14.371,10.284
2000-076,0.707,4.012,13.695,5.616,5.092,4.941,1.549,2.781,13.155,12.795,14.555,10.491
2000-077,0.746,4.166,13.832,5.749,5.423,5.051,1.61,2.871,12.296,13.193,14.783,10.529
2000-078,0.787,4.392,14.121,6.002,5.914,5.159,1.672,2.961,12.418,13.761,14.968,10.655
2000-079,0.829,4.488,14.246,6.108,6.033,5.272,1.735,3.053,13.408,13.615,15.153,10.824
2000-080,0.873,4.585,14.479,6.215,6.154,5.387,1.799,3.146,13.991,13.919,15.337,10.943
2000-081,0.918,4.784,14.841,6.382,6.611,5.516,1.865,3.241,14.252,15.024,15.521,10.752
2000-082,0.964,4.925,14.974,6.497,6.883,5.652,1.931,3.336,14.62,15.07,15.706,10.914
2000-083,1.012,5.211,15.208,6.752,7.6,5.769,1.998,3.432,15.068,15.416,15.89,11.221
2000-084,1.061,5.323,15.56,6.884,7.746,5.887,2.067,3.529,15.514,15.666,16.074,11.702
2000-085,1.111,5.472,15.803,7.064,7.987,6.006,2.136,3.627,15.883,15.865,16.258,11.951
2000-086,1.162,5.623,16.029,7.317,8.134,6.164,2.207,3.725,16.367,16.057,16.606,12.19
2000-087,1.214,5.807,16.226,7.432,8.582,6.29,2.278,3.825,16.549,16.242,16.79,12.463
2000-088,1.268,5.931,16.4,7.546,8.788,6.41,2.35,3.925,16.906,16.422,16.974,12.595
2000-089,1.323,5.878,16.558,7.582,8.367,6.53,2.423,4.026,17.088,16.541,17.157,12.806
2000-090,1.378,5.994,16.755,7.696,8.512,6.696,2.497,4.128,17.269,16.724,17.65,13.045
2000-091,1.435,6.184,16.986,7.755,8.999,6.888,2.571,4.23,17.449,16.869,18.009,13.482
2000-092,1.493,6.515,17.176,8.121,9.669,7.176,2.647,4.333,18.101,16.956,18.195,13.76
2000-093,1.552,6.629,17.206,8.237,9.824,7.301,2.722,4.436,18.285,17.099,18.38,13.576
2000-094,1.612,6.748,17.177,8.465,9.882,7.426,2.799,4.54,18.484,16.987,18.564,13.365
2000-095,1.673,7.055,17.691,8.729,10.59,7.661,2.876,4.644,18.666,17.448,18.724,14.348
2000-096,1.735,7.03,17.858,8.847,10.209,7.74,2.954,4.749,18.644,17.687,18.906,14.503
2000-097,1.797,7.098,18.05,9.079,10.051,7.866,3.032,4.853,19.094,17.866,19.086,14.693
2000-098,1.861,7.303,17.765,9.226,10.511,8.039,3.11,4.958,19.426,16.698,19.265,14.864
2000-099,1.925,7.479,18.09,9.355,10.843,8.258,3.19,5.064,19.605,17.274,19.442,15.13
2000-100,1.99,7.469,18.234,8.994,10.828,8.695,3.269,5.169,17.268,18.001,19.618,15.339
2000-101,2.055,7.375,18.337,8.759,10.5,8.855,3.349,5.274,16.454,18.211,19.769,15.486
2000-102,2.122,7.456,18.551,8.931,10.453,8.987,3.429,5.38,18.136,18.219,19.942,15.617
2000-103,2.189,7.576,18.807,9.075,10.596,9.117,3.509,5.485,18.497,18.656,20.113,15.746
2000-104,2.256,7.739,19.019,9.356,10.747,9.275,3.59,5.64,18.434,19.037,20.282,15.919
2000-105,2.324,7.831,19.178,9.394,10.888,9.405,3.67,5.746,18.814,19.197,20.45,16.046
2000-106,2.393,7.573,18.743,9.581,9.538,9.403,3.751,5.852,20.193,17.609,20.617,15.878
2000-107,2.462,8.154,19.387,10.558,10.386,9.962,3.832,6.015,21.539,18.723,20.781,16.325
2000-108,2.532,8.62,19.842,10.657,11.823,10.345,3.913,6.152,21.925,19.557,20.943,16.71
2000-109,2.602,8.963,20.041,10.736,12.722,10.624,4.085,6.259,22.094,19.945,21.157,16.756
2000-110,2.672,9.339,20.187,10.803,14.076,10.649,4.14,6.318,22.223,20.121,21.316,16.897
2000-111,2.743,9.457,20.055,10.913,14.24,10.781,4.222,6.423,22.387,19.808,21.473,16.598
2000-112,2.814,9.591,20.396,11.055,14.442,10.912,4.304,6.528,22.618,20.175,21.655,17.221
2000-113,2.885,9.886,20.551,11.831,14.604,11.042,4.385,6.666,22.877,20.373,21.809,17.339
2000-114,2.957,10.24,20.718,12.425,15.208,11.171,4.467,6.77,23.037,20.628,21.96,17.456
2000-115,3.028,10.358,20.838,12.541,15.371,11.298,4.548,6.873,23.194,20.769,22.109,17.546
2000-116,3.1,10.458,20.925,12.499,15.547,11.57,4.629,7.032,22.535,20.974,22.256,17.683
2000-117,3.172,10.721,21.04,12.883,16.004,11.705,4.709,7.135,22.57,21.111,22.401,17.804
2000-118,3.244,11.348,21.374,13.75,17.252,11.936,4.861,7.285,23.201,21.287,22.543,18.549
2000-119,3.315,11.428,21.557,13.95,17.212,12,4.942,7.387,23.346,21.419,22.714,18.914
2000-120,3.387,11.585,21.667,14.068,17.367,12.041,5.182,7.488,23.488,21.551,22.767,19.005
2000-121,3.459,11.742,21.775,14.387,17.531,12.066,5.264,7.588,23.659,21.68,22.959,19.071
2000-122,3.53,11.96,21.942,14.585,17.716,12.423,5.461,7.611,24.25,21.817,23.093,19.233
2000-123,3.601,12.056,22.097,14.626,17.876,12.542,5.542,7.708,24.388,21.943,23.224,19.512
2000-124,3.672,12.771,22.217,15.131,19.841,12.785,5.712,8.038,24.524,22.066,23.352,19.657
2000-125,3.742,12.909,22.33,15.313,20.02,12.902,5.794,8.136,24.657,22.186,23.478,19.784
2000-126,3.812,13.055,22.45,15.535,20.191,13.018,5.874,8.464,24.788,22.304,23.602,19.942
2000-127,3.881,13.17,22.553,15.646,20.359,13.132,5.954,9.174,24.916,22.42,23.723,20.041
2000-128,3.95,13.283,22.655,15.756,20.524,13.244,6.033,9.277,25.052,22.534,23.842,20.138
2000-129,4.019,13.517,22.766,15.863,20.687,14.189,6.11,9.379,25.175,22.645,23.988,20.281
2000-130,4.086,13.968,22.863,16.121,20.847,14.706,6.9,9.602,25.296,22.754,24.102,20.374
2000-131,4.153,14.006,22.971,16.238,20.747,14.934,6.893,9.806,25.446,22.86,24.214,20.508
2000-132,4.219,14.319,23.063,16.64,21.065,15.424,7.058,9.944,25.561,22.964,24.323,20.597
2000-133,4.285,13.966,23.047,16.698,19.536,15.393,7.103,9.974,25.674,22.825,24.429,20.597
2000-134,4.349,14.1,23.165,16.798,19.686,15.689,7.182,10.279,25.783,23.011,24.533,20.681
2000-135,4.413,14.044,23.286,16.895,20.96,14.993,6.306,10.701,25.89,23.208,24.634,20.768
2000-136,4.475,14.177,23.368,17.083,21.133,15.105,6.374,10.843,25.994,23.302,24.733,20.848
2000-137,4.537,14.283,23.489,16.977,21.334,15.527,6.441,10.939,26.096,23.451,24.796,21.011
2000-138,4.597,14.669,23.568,17.634,21.509,15.628,6.89,11.033,26.195,23.54,24.89,21.087
2000-139,4.656,14.861,23.575,17.668,21.933,15.807,7.044,12.143,26.291,23.584,24.98,20.948
2000-140,4.715,15.015,23.652,17.955,22.097,15.903,7.111,12.241,26.384,23.668,25.068,21.032
2000-141,4.771,15.174,23.764,18.07,22.229,16.175,7.274,12.337,26.474,23.741,25.154,21.275
2000-142,4.827,15.288,23.865,18.249,22.356,16.267,7.338,12.43,26.562,23.867,25.237,21.404
2000-143,4.881,15.386,23.939,18.379,22.473,16.356,7.401,12.593,26.647,23.943,25.317,21.497
2000-144,4.934,15.525,24.012,18.459,22.587,16.821,7.462,12.85,26.729,24.021,25.394,21.588
2000-145,4.986,15.869,24.08,19.192,23.026,16.956,7.521,12.938,26.808,24.092,25.469,21.668
2000-146,5.036,16.071,24.137,19.27,23.478,17.123,7.652,13.023,26.885,24.162,25.542,21.716
2000-147,5.085,16.401,24.226,19.587,23.723,17.722,7.939,13.216,26.958,24.228,25.611,21.895
2000-148,5.132,16.484,24.294,19.66,23.827,17.798,8.015,13.296,27.029,24.293,25.678,21.995
2000-149,5.178,16.762,24.365,20.001,23.927,18.164,8.337,13.591,27.097,24.357,25.743,22.114
2000-150,5.222,16.853,24.423,20.136,24.023,18.241,8.396,13.667,27.163,24.416,25.804,22.19
2000-151,5.264,16.922,24.472,20.203,24.116,18.315,8.448,13.741,27.225,24.473,25.863,22.239
2000-152,5.305,17.024,24.52,20.399,24.204,18.386,8.498,13.811,27.285,24.527,25.92,22.289
2000-153,5.344,17.369,24.569,21.513,24.289,18.527,8.515,13.889,27.342,24.578,25.973,22.35
2000-154,5.382,17.301,24.629,21.021,24.379,18.699,8.561,14.075,27.396,24.627,26.024,22.461
2000-155,5.425,17.531,24.739,21.341,24.68,19.263,8.523,14.839,27.447,24.674,26.176,22.765
2000-156,5.452,17.857,24.788,21.395,24.897,19.842,9.034,16.008,27.496,24.718,26.222,22.844
2000-157,5.484,17.956,24.822,21.628,24.968,19.922,9.059,16.131,27.541,24.759,26.265,22.873
2000-158,5.514,18,24.848,21.651,25.034,19.978,9.098,16.191,27.584,24.798,26.306,22.879
2000-159,5.543,18.048,24.92,21.697,25.096,20.031,9.134,16.248,27.624,24.834,26.344,23.07
2000-160,5.57,18.092,24.95,21.74,25.154,20.08,9.168,16.301,27.661,24.868,26.379,23.1
2000-161,5.595,18.265,24.977,21.779,25.167,20.593,9.416,17.614,27.696,24.899,26.412,23.128
2000-162,5.618,18.315,25.002,21.816,25.263,20.636,9.446,17.704,27.727,24.928,26.442,23.153
2000-163,5.64,18.355,25.025,21.85,25.318,20.686,9.474,18.781,27.756,24.954,26.469,23.18
2000-164,5.841,18.739,25.045,23.168,25.359,20.722,9.523,19.849,27.782,24.978,26.494,23.201
2000-165,5.824,19.143,25.08,23.784,25.396,20.75,10.192,19.994,27.806,24.999,26.549,23.28
2000-166,5.84,19.17,25.096,23.811,25.429,20.779,10.214,20.032,27.826,25.017,26.568,23.296
2000-167,5.854,19.268,25.111,23.834,25.458,20.952,10.387,20.073,27.844,25.033,26.585,23.318
2000-168,5.866,19.29,25.129,23.862,25.483,20.974,10.404,20.102,27.859,25.047,26.599,23.354
2000-169,5.877,19.307,25.132,23.878,25.503,20.992,10.418,20.791,27.871,25.058,26.611,23.339
2000-170,5.885,19.405,25.149,23.983,25.586,21.037,10.546,20.8,27.88,25.066,26.619,23.388
2000-171,5.891,19.426,25.154,24.033,25.598,21.047,10.555,20.815,27.887,25.072,26.626,23.393
2000-172,5.977,19.467,25.157,24.039,25.605,21.054,10.663,20.905,27.89,25.076,26.629,23.396
2000-173,5.98,19.481,25.168,24.042,25.609,21.135,10.666,20.91,27.891,25.077,26.596,23.442
2000-174,5.98,20.185,25.166,25.542,25.869,22.006,10.992,21.067,27.889,25.075,26.594,23.44
2000-175,6.017,20.181,25.162,25.537,25.864,22.002,10.989,21.187,27.885,25.071,26.59,23.436
2000-176,6.013,20.341,25.161,25.528,25.854,23.112,10.998,22.425,27.877,25.064,26.583,23.452
2000-177,6.008,20.33,25.153,25.516,25.84,23.099,10.989,22.409,27.867,25.055,26.573,23.444
2000-178,6,21.582,25.142,25.598,25.951,23.082,14.553,22.388,27.854,25.043,26.561,23.433
2000-179,6.187,21.781,25.131,25.702,25.928,23.229,15.012,22.372,27.839,25.029,26.546,23.424
2000-180,6.268,21.76,25.116,25.678,25.902,23.229,14.989,22.34,27.82,25.012,26.529,23.409
2000-181,6.359,21.777,25.098,25.741,25.871,23.199,15.024,22.303,27.799,24.993,26.508,23.392
2000-182,6.342,21.809,25.08,25.794,25.835,23.164,15.12,22.26,27.775,24.972,26.486,23.376
2000-183,6.324,21.768,25.05,25.742,25.796,23.126,15.084,22.213,27.748,24.947,26.46,23.323
2000-184,6.303,22.051,25.03,25.703,25.752,23.45,15.844,22.155,27.719,24.921,26.432,23.311
2000-185,6.28,22.073,25.004,25.66,25.704,23.43,15.985,22.097,27.687,24.892,26.402,23.285
2000-186,6.255,22.304,24.975,25.614,25.652,23.378,16.767,22.033,27.652,24.86,26.368,23.256
2000-187,6.228,22.579,24.947,25.563,25.595,23.375,17.663,21.965,27.614,24.826,26.333,23.233
2000-188,6.199,22.686,24.914,25.782,25.535,23.315,17.878,21.842,27.573,24.789,26.294,23.2
2000-189,6.168,22.625,24.885,25.723,25.47,23.251,17.818,21.764,27.53,24.75,26.253,23.185
2000-190,6.134,22.555,24.848,25.66,25.401,23.183,17.741,21.681,27.484,24.708,26.209,23.148
2000-191,6.295,22.757,24.818,25.594,25.328,23.48,18.315,21.666,27.436,24.664,26.163,23.146
2000-192,6.257,22.677,24.777,25.524,25.251,23.402,18.224,21.573,27.384,24.618,26.114,23.104
